County,Year,Population,PercentChng_1960,Source
San Mateo County,1996,677926,0.5255,DOF_E8
San Mateo County,1997,685153,0.5418,DOF_E8
San Mateo County,1998,693089,0.5597,DOF_E8
San Mateo County,1999,698333,0.5715,DOF_E8
San Mateo County,2000,705052,0.5866,DOF_E8
San Mateo County,2001,707965,0.5931,DOF_E8
San Mateo County,2002,706213,0.5892,DOF_E8
San Mateo County,2003,704014,0.5842,DOF_E8
San Mateo County,2004,702254,0.5803,DOF_E8
San Mateo County,2005,700350,0.5760,DOF_E8
San Mateo County,2006,699347,0.5737,DOF_E8
San Mateo County,2007,701838,0.5793,DOF_E8
San Mateo County,2008,707820,0.5928,DOF_E8
San Mateo County,2009,713818,0.6063,DOF_E8
San Mateo County,2010,718451,0.6167,DOF_E5
San Mateo County,2011,726305,0.6344,DOF_E5
San Mateo County,2012,735256,0.6545,DOF_E5
San Mateo County,2013,745626,0.6779,DOF_E5
San Mateo County,2014,752145,0.6925,DOF_E5
San Mateo County,2015,759155,0.7083,DOF_E5
San Mateo County,2016,766041,0.7238,DOF_E5
Santa Clara County,1960,642315,,Census
Santa Clara County,1961,708100,0.1024,DOF_E6
Santa Clara County,1962,761000,0.1848,DOF_E6
Santa Clara County,1963,816500,0.2712,DOF_E6
Santa Clara County,1964,860100,0.3391,DOF_E6
Santa Clara County,1965,903200,0.4062,DOF_E6
Santa Clara County,1966,935100,0.4558,DOF_E6
Santa Clara County,1967,977900,0.5225,DOF_E6
Santa Clara County,1968,998600,0.5547,DOF_E6
Santa Clara County,1969,1041200,0.6210,DOF_E6
Santa Clara County,1970,1065313,0.6586,Census
Santa Clara County,1971,1084600,0.6886,DOF_E4
Santa Clara County,1972,1107100,0.7236,DOF_E4
Santa Clara County,1973,1130700,0.7604,DOF_E4
Santa Clara County,1974,1151500,0.7927,DOF_E4
Santa Clara County,1975,1170600,0.8225,DOF_E4
Santa Clara County,1976,1197800,0.8648,DOF_E4
Santa Clara County,1977,1223800,0.9053,DOF_E4
Santa Clara County,1978,1243200,0.9355,DOF_E4
Santa Clara County,1979,1264300,0.9683,DOF_E4
Santa Clara County,1980,1295071,1.0163,Census
Santa Clara County,1981,1311600,1.0420,DOF_E4
Santa Clara County,1982,1332300,1.0742,DOF_E4
Santa Clara County,1983,1355500,1.1103,DOF_E4
Santa Clara County,1984,1379100,1.1471,DOF_E4
Santa Clara County,1985,1400300,1.1801,DOF_E4
Santa Clara County,1986,1415300,1.2034,DOF_E4
Santa Clara County,1987,1427000,1.2217,DOF_E4
Santa Clara County,1988,1445100,1.2498,DOF_E4
Santa Clara County,1989,1471100,1.2903,DOF_E4
Santa Clara County,1990,1497577,1.3315,Census
Santa Clara County,1991,1501771,1.3381,DOF_E8
Santa Clara County,1992,1519153,1.3651,DOF_E8
Santa Clara County,1993,1542054,1.4008,DOF_E8
Santa Clara County,1994,1558454,1.4263,DOF_E8
Santa Clara County,1995,1568225,1.4415,DOF_E8
Santa Clara County,1996,1586378,1.4698,DOF_E8
Santa Clara County,1997,1612739,1.5108,DOF_E8
Santa Clara County,1998,1638277,1.5506,DOF_E8
Santa Clara County,1999,1658055,1.5814,DOF_E8
Santa Clara County,2000,1676920,1.6107,DOF_E8
Santa Clara County,2001,1690366,1.6317,DOF_E8
Santa Clara County,2002,1693230,1.6361,DOF_E8
Santa Clara County,2003,1693752,1.6369,DOF_E8
Santa Clara County,2004,1695602,1.6398,DOF_E8
Santa Clara County,2005,1698234,1.6439,DOF_E8
Santa Clara County,2006,1706676,1.6571,DOF_E8
Santa Clara County,2007,1725066,1.6857,DOF_E8
Santa Clara County,2008,1747912,1.7213,DOF_E8
Santa Clara County,2009,1767204,1.7513,DOF_E8
Santa Clara County,2010,1781642,1.7738,DOF_E5
Santa Clara County,2011,1803362,1.8076,DOF_E5
Santa Clara County,2012,1828496,1.8467,DOF_E5
Santa Clara County,2013,1856194,1.8898,DOF_E5
Santa Clara County,2014,1879813,1.9266,DOF_E5
Santa Clara County,2015,1903974,1.9642,DOF_E5
Santa Clara County,2016,1927888,2.0015,DOF_E5
Solano County,1960,134597,,Census
Solano County,1961,140000,0.0401,DOF_E6
Solano County,1962,142900,0.0617,DOF_E6
Solano County,1963,148400,0.1026,DOF_E6
Solano County,1964,152800,0.1352,DOF_E6
Solano County,1965,158300,0.1761,DOF_E6
Solano County,1966,161200,0.1976,DOF_E6
Solano County,1967,165500,0.2296,DOF_E6
Solano County,1968,167600,0.2452,DOF_E6
Solano County,1969,170300,0.2653,DOF_E6
Solano County,1970,171989,0.2778,Census
Solano County,1971,176100,0.3084,DOF_E4
Solano County,1972,180600,0.3418,DOF_E4
Solano County,1973,181000,0.3448,DOF_E4
Solano County,1974,183200,0.3611,DOF_E4
Solano County,1975,185700,0.3797,DOF_E4
Solano County,1976,191700,0.4243,DOF_E4
Solano County,1977,199200,0.4800,DOF_E4
Solano County,1978,207700,0.5431,DOF_E4
Solano County,1979,218600,0.6241,DOF_E4
Solano County,1980,235203,0.7475,Census
Solano County,1981,241900,0.7972,DOF_E4
Solano County,1982,250700,0.8626,DOF_E4
Solano County,1983,258500,0.9205,DOF_E4
Solano County,1984,263800,0.9599,DOF_E4
Solano County,1985,269400,1.0015,DOF_E4
Solano County,1986,278500,1.0691,DOF_E4
Solano County,1987,291500,1.1657,DOF_E4
Solano County,1988,304500,1.2623,DOF_E4
Solano County,1989,318000,1.3626,DOF_E4
Solano County,1990,339471,1.5221,Census
Solano County,1991,349396,1.5959,DOF_E8
Solano County,1992,359175,1.6685,DOF_E8
Solano County,1993,364627,1.7090,DOF_E8
Solano County,1994,368030,1.7343,DOF_E8
Solano County,1995,368227,1.7358,DOF_E8
Solano County,1996,368121,1.7350,DOF_E8
Solano County,1997,371380,1.7592,DOF_E8
Solano County,1998,377121,1.8019,DOF_E8
Solano County,1999,384322,1.8554,DOF_E8
Solano County,2000,392833,1.9186,DOF_E8
Solano County,2001,399476,1.9679,DOF_E8
Solano County,2002,404895,2.0082,DOF_E8
Solano County,2003,407882,2.0304,DOF_E8
Solano County,2004,410164,2.0473,DOF_E8
Solano County,2005,410985,2.0534,DOF_E8
Solano County,2006,410964,2.0533,DOF_E8
Solano County,2007,411998,2.0610,DOF_E8
Solano County,2008,412908,2.0677,DOF_E8
Solano County,2009,412832,2.0672,DOF_E8
Solano County,2010,413344,2.0710,DOF_E5
Solano County,2011,413438,2.0717,DOF_E5
Solano County,2012,415862,2.0897,DOF_E5
Solano County,2013,419057,2.1134,DOF_E5
Solano County,2014,423003,2.1427,DOF_E5
Solano County,2015,426704,2.1702,DOF_E5
Solano County,2016,431498,2.2059,DOF_E5
Sonoma County,1960,147375,,Census
Sonoma County,1961,152800,0.0368,DOF_E6
Sonoma County,1962,158200,0.0735,DOF_E6
Sonoma County,1963,165300,0.1216,DOF_E6
Sonoma County,1964,171200,0.1617,DOF_E6
Sonoma County,1965,177100,0.2017,DOF_E6
Sonoma County,1966,183500,0.2451,DOF_E6
Sonoma County,1967,189100,0.2831,DOF_E6
Sonoma County,1968,192900,0.3089,DOF_E6
Sonoma County,1969,200300,0.3591,DOF_E6
Sonoma County,1970,204885,0.3902,Census
Sonoma County,1971,210500,0.4283,DOF_E4
Sonoma County,1972,219400,0.4887,DOF_E4
Sonoma County,1973,229700,0.5586,DOF_E4
Sonoma County,1974,239100,0.6224,DOF_E4
Sonoma County,1975,245500,0.6658,DOF_E4
Sonoma County,1976,252100,0.7106,DOF_E4
Sonoma County,1977,264600,0.7954,DOF_E4
Sonoma County,1978,277900,0.8857,DOF_E4
Sonoma County,1979,288100,0.9549,DOF_E4
Sonoma County,1980,299681,1.0335,Census
Sonoma County,1981,305100,1.0702,DOF_E4
Sonoma County,1982,311500,1.1137,DOF_E4
Sonoma County,1983,317800,1.1564,DOF_E4
Sonoma County,1984,323100,1.1924,DOF_E4
Sonoma County,1985,329700,1.2372,DOF_E4
Sonoma County,1986,338800,1.2989,DOF_E4
Sonoma County,1987,348500,1.3647,DOF_E4
Sonoma County,1988,359600,1.4400,DOF_E4
Sonoma County,1989,371300,1.5194,DOF_E4
Sonoma County,1990,388222,1.6342,Census
Sonoma County,1991,394070,1.6739,DOF_E8
Sonoma County,1992,402835,1.7334,DOF_E8
Sonoma County,1993,410785,1.7873,DOF_E8
Sonoma County,1994,416791,1.8281,DOF_E8
Sonoma County,1995,421676,1.8612,DOF_E8
Sonoma County,1996,427005,1.8974,DOF_E8
Sonoma County,1997,434133,1.9458,DOF_E8
Sonoma County,1998,442025,1.9993,DOF_E8
Sonoma County,1999,449455,2.0497,DOF_E8
Sonoma County,2000,456899,2.1002,DOF_E8
Sonoma County,2001,462958,2.1414,DOF_E8
Sonoma County,2002,465726,2.1601,DOF_E8
Sonoma County,2003,467139,2.1697,DOF_E8
Sonoma County,2004,469103,2.1831,DOF_E8
Sonoma County,2005,469734,2.1873,DOF_E8
Sonoma County,2006,469751,2.1875,DOF_E8
Sonoma County,2007,471479,2.1992,DOF_E8
Sonoma County,2008,474819,2.2218,DOF_E8
Sonoma County,2009,478622,2.2476,DOF_E8
Sonoma County,2010,483878,2.2833,DOF_E5
Sonoma County,2011,485417,2.2938,DOF_E5
Sonoma County,2012,487487,2.3078,DOF_E5
Sonoma County,2013,491650,2.3360,DOF_E5
Sonoma County,2014,495253,2.3605,DOF_E5
Sonoma County,2015,499352,2.3883,DOF_E5
Sonoma County,2016,501959,2.4060,DOF_E5
